Country Code|Bank Code|Bank Name|Initials|SWIFT/BIC
BR|57839805|Banco Tricury S.A.|BCO TRICURY S.A.|
BR|58160789|Banco Safra S.A.|BCO SAFRA S.A.|
BR|58497702|Banco Smartbank S.A.|SMARTBANK|
BR|58616418|Banco Fibra S.A.|BCO FIBRA S.A.|
BR|59109165|Banco Volkswagen S.A.|BCO VOLKSWAGEN S.A|
BR|59118133|Banco Luso Brasileiro S.A.|BCO LUSO BRASILEIRO S.A.|
BR|59274605|BANCO GM S.A.|BCO GM S.A.|
BR|59285411|Banco Pan S.A.|BANCO PAN|
BR|59588111|Banco Votorantim S.A.|BCO VOTORANTIM S.A.|
BR|60394079|Banco ItauBank S.A.|BCO ITAUBANK S.A.|
BR|60498557|Banco MUFG Brasil S.A.|BCO MUFG BRASIL S.A.|
BR|60518222|Banco Sumitomo Mitsui Brasileiro S.A.|BCO SUMITOMO MITSUI BRASIL S.A.|
BR|60701190|ITAÚ UNIBANCO S.A.|ITAÚ UNIBANCO S.A.|
BR|60746948|Banco Bradesco S.A.|BCO BRADESCO S.A.|
BR|60814191|BANCO MERCEDES-BENZ DO BRASIL S.A.|BCO MERCEDES-BENZ S.A.|
BR|60850229|Omni Banco S.A.|OMNI BANCO S.A.|
BR|60872504|Itaú Unibanco Holding S.A.|ITAÚ UNIBANCO HOLDING S.A.|
BR|60889128|BANCO SOFISA S.A.|BCO SOFISA S.A.|
BR|60934221|Câmara de Câmbio B3|Câmbio B3|
BR|61024352|BANCO INDUSVAL S.A.|BCO INDUSVAL S.A.|
BR|61033106|Banco Crefisa S.A.|BCO CREFISA S.A.|
BR|61088183|Banco Mizuho do Brasil S.A.|BCO MIZUHO S.A.|
BR|61182408|Banco Investcred Unibanco S.A.|BANCO INVESTCRED UNIBANCO S.A.|
BR|61186680|Banco BMG S.A.|BCO BMG S.A.|
BR|61348538|BANCO C6 CONSIGNADO S.A.|BCO C6 CONSIG|
BR|61444949|Sagitur Corretora de Câmbio Ltda.|SAGITUR CC LTDA|
BR|61533584|BANCO SOCIETE GENERALE BRASIL S.A.|BCO SOCIETE GENERALE BRASIL|
BR|61723847|Magliano S.A. Corretora de Cambio e Valores Mobiliarios|MAGLIANO S.A. CCVM|
BR|61747085|TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA|TULLETT PREBON BRASIL CVC LTDA|
BR|61809182|CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A|C.SUISSE HEDGING-GRIFFO CV S/A|
BR|61820817|Banco Paulista S.A.|BCO PAULISTA S.A.|
BR|62073200|Bank of America Merrill Lynch Banco Múltiplo S.A.|BOFA MERRILL LYNCH BM S.A.|
BR|62109566|CREDISAN COOPERATIVA DE CRÉDITO|CREDISAN CC|
BR|62144175|Banco Pine S.A.|BCO PINE S.A.|
BR|62169875|Easynvest - Título Corretora de Valores SA|EASYNVEST - TÍTULO CV SA|
BR|62232889|Banco Daycoval S.A.|BCO DAYCOVAL S.A|
BR|62237649|CAROL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.|CAROL DTVM LTDA.|
BR|62285390|SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.|SINGULARE CTVM S.A.|
BR|62287735|RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA|RENASCENCA DTVM LTDA|
BR|62331228|DEUTSCHE BANK S.A. - BANCO ALEMAO|DEUTSCHE BANK S.A.BCO ALEMAO|
BR|62421979|Banco Cifra S.A.|BANCO CIFRA|
BR|65913436|Guide Investimentos S.A. Corretora de Valores|GUIDE|
BR|68757681|SOLIDUS S.A. CORRETORA DE CAMBIO E VALORES MOBILIARIOS|SOLIDUS S.A. CCVM|
BR|68900810|Banco Rendimento S.A.|BCO RENDIMENTO S.A.|
BR|71027866|Banco BS2 S.A.|BCO BS2 S.A.|
BR|71371686|BANCO OLÉ CONSIGNADO S.A.|BCO OLÉ CONSIGNADO S.A.|
BR|71590442|Lastro RDV Distribuidora de Títulos e Valores Mobiliários Ltda.|LASTRO RDV DTVM LTDA|
BR|71677850|Frente Corretora de Câmbio Ltda.|FRENTE CC LTDA.|
BR|73622748|B&T CORRETORA DE CAMBIO LTDA.|B&T CC LTDA.|
BR|74828799|Novo Banco Continental S.A. - Banco Múltiplo|NOVO BCO CONTINENTAL S.A. - BM|
BR|75647891|BANCO CRÉDIT AGRICOLE BRASIL S.A.|BCO CRÉDIT AGRICOLE BR S.A.|
BR|76461557|Cooperativa de Crédito Rural Coopavel|CCR COOPAVEL|
BR|76543115|Banco Sistema S.A.|BANCO SISTEMA|
BR|76641497|DOURADA CORRETORA DE CÂMBIO LTDA.|DOURADA CORRETORA|
BR|78157146|Credialiança Cooperativa de Crédito Rural|CREDIALIANÇA CCR|
BR|78626983|Banco VR S.A.|BCO VR S.A.|
BR|78632767|Banco Ourinvest S.A.|BCO OURINVEST S.A.|
BR|81723108|CREDICOAMO CREDITO RURAL COOPERATIVA|CREDICOAMO|
BR|89960090|RB CAPITAL INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LIMITADA|RB CAPITAL INVESTIMENTOS DTVM LTDA.|
BR|90400888|BANCO SANTANDER (BRASIL) S.A.|BCO SANTANDER (BRASIL) S.A.|
BR|91884981|Banco John Deere S.A.|BANCO JOHN DEERE S.A.|
BR|92702067|Banco do Estado do Rio Grande do Sul S.A.|BCO DO ESTADO DO RS S.A.|
BR|92856905|ADVANCED CORRETORA DE CÂMBIO LTDA|ADVANCED CC LTDA|
BR|92874270|BANCO DIGIMAIS S.A.|BCO DIGIMAIS S.A.|
BR|92875780|WARREN CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.|WARREN CVMC LTDA|
BR|92894922|Banco Original S.A.|BANCO ORIGINAL|
BR|94968518|DECYSEO CORRETORA DE CAMBIO LTDA.|DECYSEO CC LTDA.|
